Country;Code;Region1;Region2;Region3;fillby;fillby2
Afghanistan;AFG;West Asia;NA;NA;140;10
Albania;ALB;Southeast Europe;NA;NA;100;10
Algeria;DZA;South and East Mediterranean;NA;NA;260;10
American Samoa;ASM;Pacific Region;NA;NA;260;10
Andorra;;Southwest Europe;NA;NA;260;10
Angola;AGO;Central Africa;Southern Africa;NA;100;10
Anguilla;AIA;Caribbean;NA;NA;180;10
Antigua and Barbuda;ATG;Caribbean;NA;NA;180;10
Argentina;ARG;Temperate South America;NA;NA;60;10
Armenia;ARM;Central Asia;South Eastern Europe;NA;180;10
Aruba;ABW;Caribbean;NA;NA;180;10
Australia;AUS;Australia;NA;NA;60;10
Austria;AUT;Northwest Europe;NA;NA;60;10
Azerbaijan;AZE;Central Asia;NA;NA;180;10
Bahamas, The;BHM;Caribbean;NA;NA;180;10
Bahrain;BHR;West Asia;NA;NA;140;10
Bangladesh;BGD;South Asia;NA;NA;100;10
Barbados;BRB;Caribbean;NA;NA;180;10
Belarus;BLR;Northeast Europe;NA;NA;140;10
Belgium;BEL;Northwest Europe;NA;NA;60;10
Belize;BLZ;Central America and Mexico;NA;NA;140;10
Benin;BEN;West Africa;NA;NA;60;10
Bermuda;BMU;Caribbean;NA;NA;180;10
Bhutan;BTN;South Asia;NA;NA;100;10
Bolivia;BOL;Andes;Tropical South America;NA;260;10
Bosnia and Herzegovina;BIH;Southeast Europe;NA;NA;100;10
Botswana;BWA;Southern Africa;NA;NA;180;10
Brazil;BRA;Tropical South America;NA;NA;100;10
British Virgin Islands;VGB;Caribbean;NA;NA;180;10
Brunei;BRN;Southeast Asia;NA;NA;260;10
Bulgaria;BGR;Southeast Europe;NA;NA;100;10
Burkina Faso;BFA;West Africa;NA;NA;60;10
Burma;MMR;Southeast Asia;NA;NA;260;10
Burundi;BDI;East Africa;NA;NA;140;10
Cabo Verde;CPV;West Africa;NA;NA;60;10
Cambodia;KHM;Southeast Asia;NA;NA;260;10
Cameroon;CMR;Central Africa;NA;NA;100;10
Canada;CAN;North America;NA;NA;220;10
Cayman Islands;CYM;Caribbean;NA;NA;180;10
Central African Republic;CAF;Central Africa;NA;NA;100;10
Chad;TCD;West Africa;NA;NA;60;10
Chile;CHL;Andes;NA;NA;260;10
China;CHN;East Asia;NA;NA;60;10
Colombia;COL;Andes;Tropical South America;NA;260;10
Comoros;COM;Indian Ocean Islands;NA;NA;220;10
Congo, Democratic Republic of the;COD;Central Africa;NA;NA;100;10
Congo, Republic of the;COG;Central Africa;NA;NA;100;10
Cook Islands;COK;Pacific Region;NA;NA;260;10
Costa Rica;CRI;Central America and Mexico;NA;NA;140;10
Cote d'Ivoire;CIV;West Africa;NA;NA;60;10
