id,nombre_cientifico,categoria,categoria2,grupo,clasificacion_FAO,cultivo,origen_et,origen,vulnerabilidad_et,vulnerabilidad,imp_economica_org,imp_economica_org_et,seg_alimentaria_org,seg_alimentaria_org_et,incertidumbre,incertidumbre_et,imp_economica,imp_economica_et,pool_imp_economica,seg_alimentaria,seg_alimentaria_et,pool_imp_sa,int_banco,int_banco_et,un_catalogo,un_estado_conservacion,est_conservacion_BGRL,vulnerabilidad,un_origen,un_habito,un_region_biogeografica,un_elevacion_msnm,un_departamentos,origen_x_regiones,tipo_origen,fuente_lista,clasificacion_FAO,ciclocultivo,int_economico_colombia,accesiones,sistema_conservacion,existe_banco,especies_cercanas_genoma,seguridad_alimentaria,accion_prioritaria,costo,catalogo_plantas_colombia,plan_nacional_sa,reg_mincultura,nombre_comun,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,promedio_p,AC1,AC2,AC3,AC4,AC5,AC6,AC7,AC8,AC9,AC10,AC11,prom_ac,VP1,VP2,VP3,VP4,VP5,VP6,VP7,VP8,VP9,VP10,prom_vp,IMP3,IMP4,IMP5,IMP6,IMP7,IMP8,IMP9,IMP10,IMP11,rendimiento,valor_produccion_h,porc_municipios,exportaciones_cneta,Valor_FOB _Exportaciones(COP),Valor_FOB_Exportaciones(COP-kg),Importaciones_Cantidad neta (t),Valor_FOB_Importaciones(COP),Valor_CIF_Importaciones(COP),Valor_FOB_Importaciones(COP-kg),Valor_CIF_Importaciones_(COP-kg),Grado_de_suficiencia,proxy_Consumo_aparente_Nacional,Indicador_de_generación_de_divisas(Exportaciones-Producción),Porcentaje_valor_FOB_exportaciones_totales,Porcentaje_valor_CIF_de_Importaciones,indice_lafay,calcio_precio,hierro_precio,pesos-Sodio promedio,pesos-Fósforo promedio,pesos-Yodo promedio,pesos-Flúor promedio,zinc_precio,pesos-Manganeso promedio,pesos-Magnesio promedio,pesos-Potasio promedio,energia_precio,pesos-Energía (kj),pesos-Humedad promedio,pesos-Proteína promedio,pesos-Lípidos promedio,pesos-Cenizas promedio,pesos-Fibra dietaria promedio,Consumo_alimentos,Aporte promedio diario de Calcio (mg/día),Aporte promedio diario de Hierro (mg/día),Aporte promedio diario de Zinc (mg/día),Aporte promedio diario de Energía (kcal/día),Calcio,TipoCalcio,Zinc,TipoZinc,Hierro,TipoHierro,Energia,TipoEnerg
1,Coffea arabica,EVA's (MADR) List,,Otros permanentes,Beverage and spice crops,NA,Distant,20,Threatened,75,78.25,High,56.79,Medium,30,Baja,78.25,High,No,56.79,Medium,No,100,High,Yes,Not Evaluated,Endangered,NA,Cultivated,"Arbusto,Árbol","Amazonia,Andes,Guayana y Serranía de La Macarena,Sierra Nevada de Santa Marta",200 - 2600,"Amazonas,Antioquia,Boyacá,Caldas,Cundinamarca,Guainía,Huila,Magdalena,Meta,Putumayo,Quindío,Risaralda,Santander,Tolima,Valle,Vaupés",East Africa,Introducida,Lista BGV,Beverage and spice crops,Permanente,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,CAFE,828898,828586,708891,779235,640432,626771,652052,728400,850500,853920,870000,760698.6364,766477,758306,754651,744318,712387,710462,771800,795563,801082,777705,781562,761301.1818,1369.23,1416.36,1166.63,1733,2007.36,1388.86,1345.25,2050.92,1778.8,1427.38,1568.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.999208532,15774505,0.534,729010.94,6.91E+12,9476.82,59908.84,2.81E+11,2.91E+11,4688.87,4861.87,0.7018,200897.9,0.9583,0.5935,3.95E-02,4.33,12.14384608,272.1896535,NA,3.157399981,NA,NA,NA,NA,NA,NA,3.462061383,0.827844777,877.0555503,116.94074,98.66874941,367.1395327,NA,180.6,234.78,10.4748,0,823.536,0.3913,T1,NA,NA,0.8058,T1,0.6863,T1
2,Dovyalis hebecarpa,BGV List,BGVCOL,Frutales,Fruits and nuts,Frutales menores,Distant,20,NotEvaluated,0,8,Undetermined,8,Undetermined,90,Alta,8,Undetermined,No,8,Undetermined,No,15,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,No result,NotEvaluated,NA,NA,NA,NA,NA,South Asia,Introducida,Lista BGV,Fruits and nuts,Permanente,NA,1,campo,0,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,Mauritia flexuosa,ICBF,NCB,Frutales,Fruits and nuts,NA,Local,70,MinorConcern,35,30,Low,30,Low,90,Alta,30,Low,No,30,Low,No,15,Low,No results on catalogoplantasdecolombia.unal.edu.co,NA,Least concern,NA,NA,NA,NA,NA,NA,Tropical South America,Nativa,Lista BGV,Fruits and nuts,Permanente,NA,NA,NA,2,NO,NA,NA,NA,NA,NA,1,NA,NA,1251,1531,312.7,312.7,177,129.8,141.6,165.2,202.5,522,474.55,NA,41,51,53,53,30,22,24,28,34,65,40.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.83416459,NA,2.00E-03,NA,NA,NA,NA,NA,NA,NA,NA,1,522,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,Allium cepa,BGV List,BGVCOL,Hortalizas,Vegetables and melons,Cebolla,Distant,20,MinorConcern,35,55.27,Medium,57.5,Medium,30,Baja,55.27,Medium,No,57.5,Medium,No,29.12,Low,Yes,Not Evaluated,Least concern,MinorConcern,Cultivated,Hierba,Andes,1400 - 2700,"Antioquia,Cundinamarca,Nariño",Central Asia,Introducida,Lista BGV,Vegetables and melons,Transitorio,NA,NA,matero,1,NO,NA,NA,NA,NA,X,NA,CEBOLLA DE BULBO,320283,244986,261279,297051,224181,227262,248442,267045,247516,269469,321734,266295.2727,7501.7,5469,6657.1,6317.3,4980.32,5391,5933.35,5546.09,5554.55,6718.93,7724,6163.030909,114.186,159.373,235.035,288.238,166.865,144.289,110.481,163.96,196.275,127.148,170.585,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,64520649,9.50E-02,742.07,9476230628,12769.93,35255.22,35021742498,39849481745,993.38,1130.31,0.901,356247.14,2.80E-03,8.00E-04,5.40E-03,0.9,4.582432457,418.9652532,NA,7.331891932,NA,NA,NA,NA,NA,NA,8.887141736,2.156438803,3.24419997,209.4826266,2932.756773,586.5513545,NA,31.8,20.352,0.2226,0,10.494,3.39E-02,T1,NA,NA,1.71E-02,T1,8.70E-03,T1
6,Cabralea canjerana,ICBF,NCB,Otros permanentes,Other crops,NA,Local,70,MinorConcern,35,8,Undetermined,8,Undetermined,90,Alta,8,Undetermined,No,8,Undetermined,No,15,Low,Yes,Not Evaluated,Least concern,NA,Native,Árbol,Amazonia,100 - 120,"Amazonas,Meta",Tropical South America,Nativa,Lista BGV,Other crops,Permanente,NA,NA,NA,2,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,Lactuca sativa,EVA's (MADR) List,NCB,Hortalizas,Vegetables and melons,NA,Distant,20,NotEvaluated,0,75.24,High,57.5,Medium,10,No,75.24,High,No,57.5,Medium,No,29.12,Low,Yes,Not Evaluated,No result,NA,Cultivated,Hierba,Andes,2514 - 2890,"Antioquia,Boyacá,Cundinamarca",South and East Mediterranean,Introducida,Lista BGV,Vegetables and melons,Transitorio,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,LECHUGA,29075.8,54445.2,58444.2,53633.8,56271.1,78153.8,84268.2,77786.3,81482.1,87040.1,100119,69156.32727,706.9,1595.9,1367,1662.6,1781.75,1866.84,2025.46,1806.8,2061.2,2076.47,2288.23,1749.013636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.54018759,77933710,4.40E-02,158.96,680864981.4,4283.26,2.2,625740878.3,637689475.9,284960.03,290401.38,1,99962.24,2.30E-03,1.00E-04,1.00E-04,1,4.479545469,219.0000007,32.85000011,7.300000024,NA,NA,657.0000022,1971.000007,32.85000011,1.378321683,24.63750008,5.63142859,2.053125007,246.3750008,1971.000007,394.2000013,115.9411769,23.3,10.252,0.2097,6.99E-02,1.864,1.71E-02,T1,1.75E-02,T1,1.61E-02,T1,1.60E-03,T1
8,Allium fistulosum,BGV List,BGVCOL,Hortalizas,Vegetables and melons,Cebolla larga,Distant,20,NotEvaluated,0,70,High,37.5,Low,30,Baja,70,High,No,37.5,Low,No,29.12,Low,Yes,Not Evaluated,No result,NotEvaluated,Cultivated,Hierba,Andes,1600 - 2700 ,"Antioquia,Cundinamarca,Nariño,Risaralda",Central Asia,Introducida,Lista BGV,Vegetables and melons,Transitorio,NA,NA,NA,0,NO,NA,NA,NA,NA,NA,NA,CEBOLLA DE RAMA,178082,167213,167450,162317,154711,170028,194421,201658,229180,222422,260580,191642,5186.4,5006.13,4880.85,4669.75,4690.42,5150.81,5405.66,4606.4,4767.23,5087.76,5348.63,4981.821818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,47008210,0.04,275.84,2488585497,9021.85,NA,NA,NA,NA,NA,1,260304.16,1.40E-03,2.00E-04,0,1,4.631350739,324.1945517,NA,5.228944383,NA,NA,NA,NA,NA,NA,5.789188424,1.397390309,1.773493171,135.0810632,1620.972759,324.1945517,NA,2.2,0.77,1.10E-02,0,0.616,1.30E-03,T1,NA,NA,8.00E-04,T1,5.00E-04,T1
9,Stenocereus griseus,ICBF,NCB,Otros permanentes,Other crops,NA,Local,70,MinorConcern,35,8,Undetermined,8,Undetermined,90,Alta,8,Undetermined,No,8,Undetermined,No,15,Low,Yes,Not Evaluated,Least concern,NA,Native,"Arbusto,Arbolito","Andes,Llanura del Caribe,Valle del Magdalena",0 - 1200,"Boyacá,Cauca,La Guajira,Huila,Magdalena,Nariño,Santander",Tropical South America,Nativa,Listado EVA's (MADR),Other crops,Permanente,NA,NA,NA,2,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,Allium sativum,BGV List,BGVCOL,Hortalizas,Vegetables and melons,Ajo,Distant,20,NotEvaluated,0,50,Medium,57.5,Medium,60,Media,50,Medium,No,57.5,Medium,No,29.12,Low,Yes,Not Evaluated,No result,NotEvaluated,Cultivated,Hierba,Andes,1500 - 2600,"San Andrés, Providencia y Santa Catalina",Central Asia,Introducida,Lista BGV,Vegetables and melons,Transitorio,NA,NA,NA,1,NO,NA,NA,NA,NA,NA,NA,AJO,4248,3409.2,3594,3515.8,6170.21,8057.63,9309.82,8939.22,7782.02,5619.1,6467.05,6101.095455,186.5,175.3,168.5,190.9,237.537,243.12,286.5,277.4,199.3,199.6,306,224.6051818,6.82309,5.19979,6.26861,7.33328,13.3165,17.7141,11.408,10.9633,8.60333,8.20543,9.58354,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,111066441,1.30E-02,67.18,713657893.6,10622.72,26726.43,50216150933,56625592234,1878.89,2118.71,0.1932,33126.3,1.10E-02,1.00E-04,7.70E-03,0.2,26.44439071,813.6735604,NA,7.835375026,NA,NA,NA,NA,NA,NA,7.835375026,1.872169254,16.4762559,225.0586444,10577.75629,705.1837524,NA,NA,NA,NA,NA,NA,0.03,T2,NA,NA,4.50E-02,T2,5.06E-02,T2
11,Fragaria vesca,EVA's (MADR) List,NCB,Frutales,Fruits and nuts,NA,Distant,20,MinorConcern,35,70,High,57.5,Medium,10,No,70,High,No,57.5,Medium,No,29.12,Low,Yes,Not Evaluated,Least concern,NA,Cultivated,Hierba,Andes,1500 - 3500,"Antioquia,Boyacá,Caldas,Cauca,Cundinamarca,Nariño,Quindío,Risaralda,Santander,Tolima,Valle",Northern Europe,Introducida,Lista BGV,Fruits and nuts,Permanente,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,FRESA,38231,37274.7,48708.8,43254.4,45023.4,43537.2,42451.1,44553.3,55718.9,61468.1,67263.7,47953,1308.1,1115.77,1166.11,1305.5,1133.92,1074.22,1199.59,1310.67,1503.2,1625.68,1821.68,1324,71.3833,81.5549,91.2857,97.1855,101.117,95.7972,94.7234,107.324,108.335,109.646,95.8352,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.21,161855085,7.60E-02,92.56,951871888.2,10283.84,42.23,418160647.5,448711181,9902.38,10625.85,0.9994,67213.37,1.90E-03,1.00E-04,1.00E-04,1,21.28523888,319.2785833,111.7475041,17.19192371,NA,NA,2234.950083,1489.966722,34.38384743,3.286691298,12.77114333,3.020202815,4.972080273,558.7375207,893.9800331,893.9800331,NA,161,33.81,2.254,0.322,56.35,5.64E-02,T1,8.05E-02,T1,0.1734,T1,4.70E-02,T1
